step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,8448,256,0.5257039086726851,0.0,0.0,0.3934686892254732,0.0,0.0,,,,,,
2,16896,512,0.4955431980504033,0.0,0.0,,,,,,,,,
3,25344,768,0.3835134317536168,0.00390625,0.00390625,,,,,,,,,
4,33792,1024,0.2928507035223496,0.42578125,0.42578125,,,,,,,,,
5,42240,1280,0.23843024609040298,0.484375,0.484375,,,,,,,,,
6,50688,1536,0.21204504229028545,0.4921875,0.4921875,,,,,,,,,
7,59136,1792,0.20423760736537008,0.49609375,0.49609375,,,,,,,,,
8,67584,2048,0.20250697804191695,0.45703125,0.45703125,,,,,,,,,
9,76032,2304,0.18998819026576091,0.5234375,0.5234375,,,,,,,,,
10,84480,2560,0.1876960354643363,0.515625,0.515625,,,,,,,,,
11,92928,2816,0.18840805432975039,0.546875,0.546875,,,,,,,,,
12,101376,3072,0.1907672406418487,0.5546875,0.5546875,,,,,,,,,
13,109824,3328,0.18539584190369168,0.48828125,0.48828125,,,,,,,,,
14,118272,3584,0.18566827791281065,0.55078125,0.55078125,,,,,,,,,
15,126720,3840,0.18697071826412312,0.5546875,0.5546875,,,,,,,,,
16,135168,4096,0.18487814892516585,0.51171875,0.51171875,,,,,,,,,
17,143616,4352,0.17626903356057746,0.55078125,0.55078125,,,,,,,,,
18,152064,4608,0.17815055521515966,0.51953125,0.51953125,,,,,,,,,
19,160512,4864,0.18117192365866322,0.54296875,0.54296875,,,,,,,,,
20,168960,5120,0.17618263405507886,0.5703125,0.5703125,,,,,,,,,
21,177408,5376,0.18384659101678347,0.5078125,0.5078125,,,,,,,,,
22,183808,5632,0.22976458889196646,0.56640625,0.56640625,,,,,,,,,
23,192256,5888,0.17858378587123616,0.515625,0.515625,0.18103075103227204,0.60546875,0.60546875,,,,,,
24,200704,6144,0.18128091122627418,0.64453125,0.64453125,,,,,,,,,
25,209152,6400,0.1754729426055559,0.6640625,0.6640625,,,,,,,,,
26,217600,6656,0.18186758286904064,0.5546875,0.5546875,,,,,,,,,
27,226048,6912,0.17422669435915356,0.5859375,0.5859375,,,,,,,,,
28,234496,7168,0.18105463903255806,0.55078125,0.55078125,,,,,,,,,
29,242944,7424,0.17562805363770337,0.5390625,0.5390625,,,,,,,,,
30,251392,7680,0.17900884165118117,0.59375,0.59375,,,,,,,,,
31,259840,7936,0.18424386533909004,0.5546875,0.5546875,,,,,,,,,
32,268288,8192,0.17604056042959526,0.55078125,0.55078125,,,,,,,,,
33,276736,8448,0.17499350292807273,0.54296875,0.54296875,,,,,,,,,
34,285184,8704,0.17762581230889662,0.6171875,0.6171875,,,,,,,,,
35,293632,8960,0.1773135579526771,0.53515625,0.53515625,,,,,,,,,
36,304128,9216,0.14258990395167653,0.62109375,0.62109375,,,,,,,,,
37,312576,9472,0.18031882052508721,0.640625,0.640625,,,,,,,,,
38,321024,9728,0.17358304218797466,0.609375,0.609375,,,,,,,,,
39,329472,9984,0.17072827322417583,0.6015625,0.6015625,,,,,,,,,
40,337920,10240,0.17815121224735372,0.59765625,0.59765625,,,,,,,,,
41,346368,10496,0.1755363897251494,0.57421875,0.57421875,,,,,,,,,
42,354816,10752,0.17414181668574075,0.61328125,0.61328125,,,,,,,,,
43,363264,11008,0.1766832486737242,0.54296875,0.54296875,,,,,,,,,
44,371712,11264,0.17585745531959757,0.5390625,0.5390625,,,,,,,,,
45,380160,11520,0.17849623487490263,0.59765625,0.59765625,0.1745111956606147,0.55859375,0.55859375,,,,,,
46,388608,11776,0.17711845905042872,0.52734375,0.52734375,,,,,,,,,
47,397056,12032,0.17695817816283246,0.5390625,0.5390625,,,,,,,,,
48,405504,12288,0.17348861221728526,0.63671875,0.63671875,,,,,,,,,
49,413952,12544,0.16928320933418947,0.59375,0.59375,,,,,,,,,
50,422400,12800,0.17727958158988485,0.5859375,0.5859375,,,,,,,,,
51,430848,13056,0.17201278093479744,0.609375,0.609375,,,,,,,,,
52,439296,13312,0.17894875562774004,0.5546875,0.5546875,,,,,,,,,
53,447744,13568,0.16964562765439553,0.53125,0.53125,,,,,,,,,
54,456192,13824,0.17737692023205204,0.61328125,0.61328125,,,,,,,,,
55,464640,14080,0.17772219818841206,0.56640625,0.56640625,,,,,,,,,
56,473088,14336,0.17766857837259542,0.56640625,0.56640625,,,,,,,,,
57,481536,14592,0.17247811711475514,0.5546875,0.5546875,,,,,,,,,
58,489984,14848,0.1738067979849778,0.5625,0.5625,,,,,,,,,
59,498432,15104,0.1771939554081114,0.57421875,0.57421875,,,,,,,,,
60,506880,15360,0.16756774293271925,0.578125,0.578125,,,,,,,,,
61,515328,15616,0.17220869467953062,0.640625,0.640625,,,,,,,,,
62,523776,15872,0.17432958919669933,0.58984375,0.58984375,,,,,,,,,
63,532224,16128,0.17931120763252298,0.66796875,0.66796875,,,,,,,,,
64,540672,16384,0.17222400904297763,0.640625,0.640625,,,,,,,,,
65,549120,16640,0.17089759472944005,0.5625,0.5625,,,,,,,,,
66,557568,16896,0.17363486458054805,0.6015625,0.6015625,,,,,,,,,
67,566016,17152,0.16968482141664487,0.61328125,0.61328125,0.16712290694382942,0.61328125,0.61328125,,,,,,
68,574464,17408,0.18330625943215886,0.5390625,0.5390625,,,,,,,,,
69,582912,17664,0.1788503341222715,0.54296875,0.54296875,,,,,,,,,
70,591360,17920,0.173836311872972,0.5703125,0.5703125,,,,,,,,,
71,599808,18176,0.16851508941878973,0.546875,0.546875,,,,,,,,,
72,608256,18432,0.1757602909889455,0.59765625,0.59765625,,,,,,,,,
73,614656,18688,0.23364806202570276,0.5703125,0.5703125,,,,,,,,,
74,623104,18944,0.17409447958607235,0.6484375,0.6484375,,,,,,,,,
75,631552,19200,0.1761035307745381,0.625,0.625,,,,,,,,,
76,640000,19456,0.17225154515106395,0.62890625,0.62890625,,,,,,,,,
77,648448,19712,0.17031493490681734,0.6171875,0.6171875,,,,,,,,,
78,656896,19968,0.17596692925955099,0.60546875,0.60546875,,,,,,,,,
79,665344,20224,0.17166678270527763,0.53125,0.53125,,,,,,,,,
80,673792,20480,0.16859305370954694,0.59765625,0.59765625,,,,,,,,,
81,684288,20736,0.1386871948483756,0.578125,0.578125,,,,,,,,,
82,692736,20992,0.17372883750185553,0.5390625,0.5390625,,,,,,,,,
83,701184,21248,0.16843000825023371,0.58984375,0.58984375,,,,,,,,,
84,709632,21504,0.17911725441191118,0.62109375,0.62109375,,,,,,,,,
85,718080,21760,0.1743637288328741,0.57421875,0.57421875,,,,,,,,,
86,726528,22016,0.17364765152664766,0.66015625,0.66015625,,,,,,,,,
87,734976,22272,0.17323246368416895,0.59765625,0.59765625,,,,,,,,,
88,743424,22528,0.17595832455141325,0.61328125,0.61328125,,,,,,,,,
89,751872,22784,0.16953550697072,0.67578125,0.67578125,0.13680017557841537,0.58984375,0.58984375,,,,,,
90,760320,23040,0.17598567952577154,0.62109375,0.62109375,,,,,,,,,
91,766720,23296,0.23261700061290516,0.609375,0.609375,,,,,,,,,
92,775168,23552,0.17358922010442543,0.62109375,0.62109375,,,,,,,,,
93,783616,23808,0.17782963074202998,0.59765625,0.59765625,,,,,,,,,
94,792064,24064,0.1758257667809334,0.5859375,0.5859375,,,,,,,,,
95,800512,24320,0.17764033265838564,0.578125,0.578125,,,,,,,,,
96,808960,24576,0.17076641334635084,0.54296875,0.54296875,,,,,,,,,
97,817408,24832,0.1768523362615749,0.66015625,0.66015625,,,,,,,,,
98,825856,25088,0.17088888645570374,0.6171875,0.6171875,,,,,,,,,
99,834304,25344,0.1723204568008493,0.58203125,0.58203125,,,,,,,,,
100,842752,25600,0.17193248673484657,0.609375,0.609375,,,,,,,,,
101,851200,25856,0.17548383935079628,0.609375,0.609375,,,,,,,,,
102,859648,26112,0.17144309226485127,0.609375,0.609375,,,,,,,,,
103,868096,26368,0.170357033994228,0.63671875,0.63671875,,,,,,,,,
104,876544,26624,0.1697937081589235,0.6015625,0.6015625,,,,,,,,,
105,884992,26880,0.1748152104541456,0.5625,0.5625,,,,,,,,,
106,893440,27136,0.17183630833125307,0.58203125,0.58203125,,,,,,,,,
107,901888,27392,0.16860557784355237,0.640625,0.640625,,,,,,,,,
108,910336,27648,0.17727638337103113,0.5625,0.5625,,,,,,,,,
109,918784,27904,0.17139570631732054,0.66015625,0.66015625,,,,,,,,,
110,927232,28160,0.17011010263239804,0.625,0.625,,,,,,,,,
111,935680,28416,0.1597752173852863,0.6328125,0.6328125,0.1726450110404213,0.609375,0.609375,,,,,,
112,946176,28672,0.13790855916968417,0.609375,0.609375,,,,,,,,,
113,954624,28928,0.16878856671068398,0.62890625,0.62890625,,,,,,,,,
114,961024,29184,0.22369822812269344,0.640625,0.640625,,,,,,,,,
115,969472,29440,0.1755390133115245,0.6015625,0.6015625,,,,,,,,,
116,977920,29696,0.1723359741479568,0.59765625,0.59765625,,,,,,,,,
117,986368,29952,0.1783019324858417,0.57421875,0.57421875,,,,,,,,,
118,994816,30208,0.17398542174818443,0.55078125,0.55078125,,,,,,,,,
119,1003264,30464,0.17768789865453516,0.63671875,0.63671875,,,,,,,,,
